Timestamp,TargetSpeed,MeasuredSpeed,PWM
0,200,0,240
1,200,24,255
2,200,47,252
3,200,67,255
4,200,86,255
5,200,103,255
6,200,118,255
7,200,132,255
8,200,144,255
9,200,155,255
10,200,165,254
11,200,174,255
12,200,182,255
13,200,189,254
14,200,196,254
15,200,201,253
16,200,206,252
17,200,211,251
18,200,215,249
19,200,218,247
20,200,221,244
21,200,223,242
22,200,225,239
23,200,226,236
24,200,227,233
25,200,228,231
26,200,228,228
27,200,228,225
28,200,228,222
29,200,227,220
30,200,226,217
31,200,225,215
32,200,224,212
33,200,223,210
34,200,222,208
35,200,220,206
36,200,219,204
37,200,217,203
38,200,216,201
39,200,214,200
40,200,213,200
41,200,211,199
42,200,210,198
43,200,209,197
44,200,208,197
45,200,207,196
46,200,205,196
47,200,204,195
48,200,203,195
49,200,203,195
50,200,202,195
51,200,201,195
52,200,200,195
53,200,200,195
54,200,199,195
55,200,199,195
56,200,198,196
57,200,198,196
58,200,198,196
59,200,198,196
60,200,197,197
61,200,197,197
62,200,197,197
63,200,197,197
64,200,197,198
65,200,197,198
66,200,197,198
67,200,197,199
68,200,197,199
69,200,197,199
70,200,198,199
71,200,198,200
72,200,198,200
73,200,198,200
74,200,198,200
75,200,198,200
76,200,198,200
77,200,199,200
78,200,199,200
79,200,199,200
80,200,199,200
81,200,199,200
82,200,199,200
83,200,199,200
84,200,199,200
85,200,199,200
86,200,199,201
87,200,199,201
88,200,199,201
89,200,199,201
90,200,200,201
91,200,200,201
92,200,200,201
93,200,200,201
94,200,200,201
95,200,200,201
96,200,200,201
97,200,200,201
98,200,200,201
99,200,200,201
100,200,200,201
101,200,200,201
102,200,200,201
103,200,200,201
104,200,200,201
105,200,200,201
106,200,200,201
107,200,200,201
108,200,200,201
109,200,200,201
110,200,200,201
111,200,200,201
112,200,200,201
113,200,200,201
114,200,200,201
115,200,200,201
116,200,200,201
117,200,200,201
118,200,200,201
119,200,200,201
120,200,200,201
121,200,200,201
122,200,200,201
123,200,200,201
124,200,200,201
125,200,200,201
126,200,200,201
127,200,200,201
128,200,200,201
129,200,200,201
130,200,200,201
131,200,200,201
132,200,200,201
133,200,200,201
134,200,200,201
135,200,200,201
136,200,200,201
137,200,200,201
138,200,200,201
139,200,200,201
140,200,200,201
141,200,200,201
142,200,200,201
143,200,200,201
144,200,200,201
145,200,200,201
146,200,200,201
147,200,200,201
148,200,200,201
149,200,200,201
150,200,200,201
151,200,200,201
152,200,200,201
153,200,200,201
154,200,200,201
155,200,200,201
156,200,200,201
157,200,200,201
158,200,200,201
159,200,200,201
160,200,200,201
161,200,200,201
162,200,200,201
163,200,200,201
164,200,200,201
165,200,200,201
166,200,200,201
167,200,200,201
168,200,200,201
169,200,200,201
170,200,200,201
171,200,200,201
172,200,200,201
173,200,200,201
174,200,200,201
175,200,200,201
176,200,200,201
177,200,200,201
178,200,200,201
179,200,200,201
180,200,200,201
181,200,200,201
182,200,200,201
183,200,200,201
184,200,200,201
185,200,200,201
186,200,200,201
187,200,200,201
188,200,200,201
189,200,200,201
190,200,200,201
191,200,200,201
192,200,200,201
193,200,200,201
194,200,200,201
195,200,200,201
196,200,200,201
197,200,200,201
198,200,200,201
199,200,200,201
200,200,200,201
201,200,200,201
202,200,200,201
203,200,200,201
204,200,200,201
205,200,200,201
206,200,200,201
207,200,200,201
208,200,200,201
209,200,200,201
210,200,200,201
211,200,200,201
212,200,200,201
213,200,200,201
214,200,200,201
215,200,200,201
216,200,200,201
217,200,200,201
218,200,200,201
219,200,200,201
220,200,200,201
221,200,200,201
222,200,200,201
223,200,200,201
224,200,200,201
225,200,200,201
226,200,200,201
227,200,200,201
228,200,200,201
229,200,200,201
230,200,200,201
231,200,200,201
232,200,200,201
233,200,200,201
234,200,200,201
235,200,200,201
236,200,200,201
237,200,200,201
238,200,200,201
239,200,200,201
240,200,200,201
241,200,200,201
242,200,200,201
243,200,200,201
244,200,200,201
245,200,200,201
246,200,200,201
247,200,200,201
248,200,200,201
249,200,200,201
250,200,200,201
